Category,Name,Followers,Views,UserName,Gender,Gender_Perchantage
"Technology, , ",Colin W. | Tech Creator,275.8K,47.3K,@colinwasson,Male,67%
"Tutorials, Vlog, Technology",Lopeztips 📲,4M,557.4K,@lopeztips,Female,57%
"Tutorials, Vlog, Technology",Hardware Savvy,562.4K,115.3K,@hardwaresavvy,Male,68%
"Comedy, Technology, Pets",Mik Zenon,2.4M,573.9K,@mik.zenon,Female,59%
"Dance, Love & Dating, Vlog",Honeyb,2.1M,298.2K,@honeybthatsme,Female,81%
"Dance, Outfit, ",kaylin wiley,935.8K,529.6K,@kaylinwiley,Female,84%
"Dance, Vlog, ",Official_JaNina,3.3M,53.4K,@official_janina,Female,79%
"Traditional Sports, Comedy, Vlog",Noah Leyco🏀✌️💀,231K,74.5K,@noahleyco,Male,72%
"Dance, Family & Parenting, +1",AlexandraKay,480.6K,23.5K,@alexandrawille,Female,87%
"Technology, , ",taran tech support,232.2K,49.3K,@tarantech,Male,66%
"Dance, Celebrity Account, Vlog",Xenia Tchoumi,245.7K,23.1K,@xenia,Female,60%
"Love & Dating, Comedy, +1",MOONTELLTHAT,8.8M,6.5M,@moontellthat,Female,67%
"Vlog, Comedy, Family & Parenting",TheFergs,2.8M,20.1K,@mikeferg,Female,57%
"Dance, Traditional Sports, +2",Briana Green,366.7K,18K,@brianagreen11,Female,57%
"Drama, Dance, Comedy",🔱Nathan🔱,255.8K,5K,@pinkpanthernate,Female,62%
"Comedy, Vlog, +1",Kyle🧸,2M,562.1K,@_vcy,Male,52%
"Love & Dating, Comedy, Vlog",Caitlin and Leah,3.1M,1.2M,@caitlinandleahh,Female,84%
"Comedy, Vlog, ",Jay Torres,2.9M,1.2M,@jaytorresss,Male,61%
"Dance, Love & Dating, Vlog",Sana🐸,1.3M,594.3K,@_frogzzzzz,Female,77%
"Vlog, Comedy, Family & Parenting",Peet Montzingo,7.5M,2.1M,@peetmontzingo,Female,73%
"Dance, Vlog, ",julia,1.2M,790.8K,@ttrippiereed,Female,81%
"Comedy, Vlog, Video Games",TYSM FOR 400K!❤️🎉,402.2K,352.9K,@pigs_army,Female,76%
"Tutorials, Technology, ",Curtis Johnson,696.2K,127.1K,@curtwj,Female,56%
